# Strings exported from IDA
# Format: address | length | type | string
#================================================================================

0xa318 | 18 | ASCII |  diag.audit_sink=
0xa32a | 10 | ASCII | [session:
0xa334 | 10 | ASCII | ] handle=
0xa348 | 23 | ASCII | [autoscaler] profiles=
0xa35f | 11 | ASCII |   profile[
0xa36d | 23 | ASCII | [scheduler.head] desc=
0xa384 | 7 | ASCII | ./flag
0xa38b | 19 | ASCII | [audit] snapshot: 
0xa39e | 26 | ASCII | vector::_M_realloc_insert
0xa3b8 | 28 | ASCII | autoscaler capacity reached
0xa3d4 | 19 | ASCII | worker.cpu_quota> 
0xa3e7 | 19 | ASCII | worker.mem_quota> 
0xa3fa | 19 | ASCII | worker.io_weight> 
0xa40d | 21 | ASCII | worker.latency_slo> 
0xa422 | 18 | ASCII | worker.replicas> 
0xa434 | 21 | ASCII | worker.region_code> 
0xa449 | 14 | ASCII | worker.memo> 
0xa457 | 28 | ASCII | worker profile parse failed
0xa473 | 8 | ASCII |  index=
0xa47b | 24 | ASCII | artifact not registered
0xa493 | 16 | ASCII | stream.offset> 
0xa4a3 | 20 | ASCII | offset parse failed
0xa4b7 | 21 | ASCII | stream.payload.hex> 
0xa4cc | 25 | ASCII | payload hex parse failed
0xa4e5 | 23 | ASCII | ingest accepted bytes=
0xa4fc | 26 | ASCII |  (declared boundary mode)
0xa516 | 29 | ASCII | [1] Register model artifact\n
0xa533 | 27 | ASCII | [2] Stream artifact chunk\n
0xa54e | 29 | ASCII | [4] Inspect scheduler queue\n
0xa56b | 29 | ASCII | [5] Allocate session tensor\n
0xa588 | 30 | ASCII | [6] Complete batch inference\n
0xa5a6 | 28 | ASCII | [7] Patch session metadata\n
0xa5c2 | 30 | ASCII | [8] Provision worker profile\n
0xa5e0 | 25 | ASCII | [9] Dispatch async task\n
0xa5f9 | 24 | ASCII | [10] Runtime telemetry\n
0xa611 | 24 | ASCII | [11] Operator handbook\n
0xa629 | 22 | ASCII | [0] Shutdown gateway\n
0xa63f | 10 | ASCII | gateway> 
0xa64d | 8 | ASCII | unknown
0xa658 | 55 | ASCII | %s: __pos (which is %zu) > this->size() (which is %zu)
0xa698 | 38 | ASCII | [task-runner] null descriptor context
0xa6c0 | 251 | ASCII | \n[portal] Operator handbook is managed by central SRE and not distributed in this runtime.\n[portal] Available actions depend on your tenant role and deployment policy.\n[portal] For emergency operations, escalate via on-call channel with incident id.\n
0xa7c0 | 31 | ASCII | scheduler already bootstrapped
0xa7e0 | 42 | ASCII | scheduler control plane allocation failed
0xa810 | 34 | ASCII | task descriptor allocation failed
0xa838 | 47 | ASCII | scheduler bootstrap complete, strict_policy=on
0xa868 | 55 | ASCII | postproc profile invalid, fallback to default pipeline
0xa8a0 | 44 | ASCII | batch inference finalized, session recycled
0xa8d0 | 46 | ASCII | policy engine blocked non-whitelisted handler
0xa900 | 31 | ASCII | session tensor request invalid
0xa920 | 33 | ASCII | session tensor allocation failed
0xa948 | 51 | ASCII | diagnostic patch requires recycled session context
0xa980 | 51 | ASCII | diagnostic offset policy allows qword_index=0 only
0xa9b8 | 35 | ASCII | [telemetry] diag.postproc_default=
0xa9e0 | 45 | ASCII | [audit] snapshot read failed (/flag, ./flag)
0xaa10 | 35 | ASCII | worker profile provisioned handle=
0xaa38 | 38 | ASCII | stream exceeds declared artifact size
0xaa60 | 41 | ASCII | ingest window policy rejected far offset
0xaa90 | 46 | ASCII | ============================================\n
0xaac0 | 47 | ASCII |  InferenceForge :: Edge Runtime Control Plane\n
0xaaf0 | 52 | ASCII |  Region: apac-sz  Cluster: edge-a1  Build: 2026.03\n
0xab28 | 31 | ASCII | [3] Bootstrap async scheduler\n
0xacff | 6 | ASCII | 9*3$"
